,index,areaWithType,square_feet,transaction,status,furnishing,facing,price_per_sqft,price,current_floor,total_floor,BHK,area
1979,4201,2,3510,1,Poss. by Sep '24,1,8,6809,23899590,7.0,12,4,DMD
1980,4202,2,3500,1,Poss. by Sep '24,1,8,4500,15750000,7.0,12,4,Dumas
1981,4203,1,3200,1,Poss. by Jul '25,1,3,6136,19635200,4.0,13,5,Pal
1982,4204,2,4545,2,Ready to Move,3,3,8801,40000545,7.0,13,4,Vesu
1983,4205,2,3500,1,Poss. by Dec '25,1,3,5857,20499500,5.0,13,4,Shivansh
1984,4206,2,7150,2,Ready to Move,1,8,12028,86000200,2.0,11,5,Surya
1985,4207,2,2650,1,Poss. by Dec '24,1,8,6226,16498900,5.0,12,3,Sangini
1986,4209,2,2750,1,Poss. by Dec '26,1,3,6051,16640250,5.0,12,3,Rajhans
1987,4210,2,2829,1,Ready to Move,1,3,7070,20001030,5.0,20,3,Sangini
1988,4211,2,3113,1,Poss. by Jan '25,1,8,6660,20732580,5.0,12,4,Millionaires
1989,4212,2,4436,1,Poss. by Sep '25,1,3,5850,25950600,4.0,12,4,Milestone
1990,4213,2,9962,2,Ready to Move,1,8,6500,64753000,2.0,13,6,Cellestial
1991,4214,1,1624,1,Ready to Move,1,3,6102,9909648,5.0,11,3,Sangini
1992,4216,1,1860,2,Ready to Move,1,5,6333,11779380,7.0,13,4,Ashirwad
1993,4217,2,7150,1,Ready to Move,1,3,7800,55770000,8.0,12,5,Surya
1994,4218,2,3376,1,Poss. by Jun '25,1,3,5717,19300592,5.0,13,4,Milestone
1995,4219,2,2350,1,Ready to Move,1,3,6596,15500600,3.0,14,3,sangini
1996,4220,1,1980,1,Ready to Move,1,3,5500,10890000,9.0,10,4,Baghban
1997,4221,2,4000,1,Ready to Move,1,3,6800,27200000,5.0,13,4,Surya
1998,4222,1,1402,1,Poss. by Oct '26,1,3,6351,8904102,5.0,13,3,Althan
1999,4223,2,3200,1,Poss. by Jan '25,1,8,6200,19840000,7.0,12,4,Rajhans
2000,4224,2,3600,1,Poss. by Sep '24,1,8,4500,16200000,7.0,12,4,Dumas
2001,4225,2,5700,1,Ready to Move,1,3,6900,39330000,6.0,12,5,Vesu
2002,4226,2,3400,1,Poss. by Aug '24,1,3,5382,18298800,8.0,12,4,"Aarambh,"
2003,4227,2,2359,1,Poss. by Sep '24,1,8,6486,15300474,5.0,12,3,DMD
2004,4229,2,3800,1,Ready to Move,1,1,6700,25460000,3.0,20,4,Sangini
