,index,areaWithType,square_feet,transaction,status,furnishing,facing,price_per_sqft,price,current_floor,total_floor,BHK,area
2155,4421,1,2800,1,Poss. by Dec '24,1,8,6000,16800000,6.0,12,4,Milestone
2156,4422,1,2200,1,Poss. by May '25,1,3,8500,18700000,8.0,11,4,Roland
2157,4423,1,5701,2,Ready to Move,1,1,3492,19907892,7.0,19,5,"Expressions,"
2158,4424,2,2578,1,Poss. by Aug '24,1,3,6000,15468000,5.0,12,3,Milestone
2159,4425,2,3275,1,Poss. by Dec '24,1,3,6660,21811500,4.0,12,4,Millionaires
2160,4426,1,2309,1,Poss. by Jan '26,1,3,5700,13161300,9.0,11,4,Avadh
2161,4427,1,2090,1,Ready to Move,1,5,6500,13585000,5.0,12,4,Samprati
2162,4428,2,5700,1,Poss. by Aug '24,1,8,6600,37620000,5.0,12,5,Unison
2163,4429,2,2493,1,Poss. by Nov '24,1,8,6570,16379010,5.0,12,3,"Ambience,"
2164,4430,1,1980,1,Ready to Move,1,3,4500,8910000,10.0,13,4,Avadh
2165,4431,1,2338,1,Ready to Move,1,1,7765,18154570,5.0,14,4,Atlanta
2166,4432,2,5553,1,Poss. by Jul '24,1,3,7500,41647500,7.0,12,5,Roongta
2167,4433,2,3325,1,Poss. by Nov '24,1,8,6570,21845250,5.0,12,4,"Ambience,"
2168,4434,1,1870,1,Poss. by Jan '25,1,3,5931,11090970,7.0,11,4,The
2169,4435,2,3900,2,Ready to Move,1,1,5487,21399300,5.0,11,4,Union
2170,4436,2,4000,1,Poss. by Jul '24,1,3,7300,29200000,7.0,12,4,Roongta
2171,4437,1,2340,1,Poss. by Nov '24,1,8,7000,16380000,5.0,12,4,Milestone
2172,4438,2,2980,2,Ready to Move,3,3,6040,17999200,1.0,12,4,Avadh
2173,4439,1,1900,1,Poss. by Dec '27,1,7,7000,13300000,5.0,12,4,Pramukh
2174,4440,2,6000,1,Poss. by Jul '24,1,3,7300,43800000,7.0,12,5,Roongta
2175,4441,2,7150,1,Poss. by Nov '24,1,8,7500,53625000,5.0,12,5,Surya
2176,4442,1,2475,1,Poss. by Sep '25,1,3,4500,11137500,5.0,11,4,The
2177,4443,2,7500,1,Poss. by Dec '25,1,6,7200,54000000,5.0,11,6,Rajhans
2178,4444,2,9222,1,Poss. by Jul '24,1,3,7800,71931600,12.0,12,5,Roongta
2179,4445,2,4500,1,Poss. by Sep '24,1,3,7200,32400000,4.0,12,5,SURYA
2180,4446,1,1430,1,Ready to Move,1,3,6000,8580000,8.0,11,3,Sangini
2181,4447,2,3500,1,Poss. by Dec '25,1,5,6700,23450000,5.0,10,4,"Agastya,"
2182,4448,2,4350,1,Poss. by Jul '24,1,3,7800,33930000,7.0,12,4,Atlanta
2183,4449,2,8000,1,Poss. by Oct '24,1,3,5400,43200000,12.0,12,6,SURYA
2184,4450,2,7150,1,Poss. by Dec '25,1,5,8000,57200000,5.0,14,5,Surya
2185,4451,2,6800,1,Poss. by Jul '24,1,3,8125,55250000,12.0,12,5,Atlanta
2186,4452,2,6000,1,Ready to Move,1,8,7300,43800000,6.0,12,5,Roongta
2187,4453,1,1595,1,Poss. by Dec '25,1,6,6200,9889000,10.0,10,3,Sangini
2188,4454,2,5400,1,Ready to Move,1,8,7500,40500000,6.0,12,5,Sangini
2189,4455,1,2200,1,Ready to Move,1,3,7300,16060000,6.0,12,4,Roongta
2190,4456,1,1513,1,Poss. by Dec '25,1,5,6051,9155163,7.0,11,3,Rajhans
2191,4457,2,4150,1,Ready to Move,1,3,7500,31125000,6.0,13,4,Sangini
2192,4458,1,3200,1,Ready to Move,1,8,6300,20160000,10.0,12,5,Avadh
2193,4459,2,4000,1,Poss. by Apr '25,1,3,7300,29200000,6.0,19,4,Roongta
2194,4460,2,3500,1,Poss. by Dec '25,1,7,6051,21178500,5.0,11,4,Rajhans
2195,4461,2,3047,1,Poss. by Aug '24,1,3,5931,18071757,7.0,12,4,Freedom
2196,4462,2,2493,1,Ready to Move,1,8,6811,16979823,5.0,12,3,"Ambience,"
2197,4463,2,7500,1,Poss. by Mar '25,1,3,8500,63750000,11.0,12,6,Roongta
2198,4464,1,3163,1,Poss. by Dec '25,1,5,7391,23377733,7.0,11,5,Rajhans
2199,4465,2,2550,1,Poss. by Jul '24,1,3,6000,15300000,6.0,13,3,The
2200,4466,2,4200,1,Ready to Move,1,3,7800,32760000,6.0,12,4,Sangini
2201,4467,1,4675,1,Poss. by Mar '25,1,3,8500,39737500,12.0,12,7,Roongta
2202,4468,1,2640,1,Poss. by Dec '25,1,7,7391,19512240,10.0,11,4,Rajhans
2203,4469,2,3400,1,Poss. by Jul '24,1,3,6000,20400000,5.0,13,4,The
2204,4470,2,8500,1,Poss. by Apr '25,1,3,8500,72250000,7.0,12,5,Avadh
2205,4471,1,1675,1,Poss. by Apr '25,1,3,5930,9932750,8.0,13,4,Freedom
2206,4472,1,2200,1,Poss. by Dec '25,1,5,8025,17655000,5.0,11,4,Sangini
2207,4473,2,5000,1,Ready to Move,1,3,8000,40000000,6.0,12,5,Sangini
2208,4474,2,3600,1,Poss. by Apr '25,1,3,5000,18000000,8.0,12,4,Avadh
2209,4475,2,5553,1,Ready to Move,1,3,7470,41480910,7.0,13,5,Green
2210,4476,1,3025,1,Poss. by Dec '25,1,7,8018,24254450,5.0,10,5,Sangini
2211,4477,2,4000,1,Ready to Move,1,3,8000,32000000,8.0,12,4,Sangini
2212,4478,2,9000,1,Poss. by Apr '25,1,8,8500,76500000,7.0,12,6,Avadh
2213,4479,1,2824,1,Poss. by Apr '25,1,3,6885,19443240,8.0,11,5,Shaligram
2214,4480,2,4000,1,Poss. by Dec '25,1,3,6500,26000000,5.0,11,4,Rajhans
2215,4481,2,6000,1,Ready to Move,3,3,8000,48000000,6.0,12,5,Sangini
2216,4482,2,3006,1,Poss. by Mar '25,1,8,6500,19539000,4.0,12,3,Rajhans
2217,4483,1,4730,1,Poss. by Sep '25,1,3,5000,23650000,10.0,11,6,The
2218,4484,2,3500,1,Poss. by Dec '24,1,5,7200,25200000,1.0,11,4,Rajhans
2219,4485,2,2881,1,Ready to Move,1,3,6100,17574100,6.0,14,4,Piramyd
2220,4486,2,3945,1,Poss. by Feb '25,1,8,6500,25642500,6.0,12,4,Rajhans
2221,4487,1,2282,1,Ready to Move,1,3,7791,17779062,6.0,18,4,Atlanta
2222,4488,2,6500,1,Poss. by Dec '25,1,3,8000,52000000,5.0,20,6,Rajhans
2223,4489,2,3200,1,Poss. by Dec '24,1,3,5500,17600000,7.0,10,4,Sangini
2224,4490,1,2000,1,Poss. by Aug '24,1,7,5500,11000000,6.0,12,4,Bblossom
2225,4491,1,1540,1,Ready to Move,1,5,6500,10010000,6.0,13,3,Avantis
2226,4492,2,2855,1,Poss. by Feb '26,1,3,5900,16844500,7.0,14,4,Veer
2227,4493,2,4580,1,Ready to Move,1,3,5500,25190000,6.0,12,4,Avantis
2228,4494,2,4100,1,Ready to Move,1,6,7000,28700000,1.0,18,4,Sangini
2229,4495,2,9000,1,Poss. by Apr '25,1,8,8500,76500000,7.0,12,6,Avadh
2230,4496,2,4000,1,Ready to Move,1,3,8512,34048000,6.0,12,4,Green
2231,4497,1,2970,1,Ready to Move,1,1,6944,20623680,5.0,18,4,Rajgreen
2232,4498,2,3000,1,Poss. by Jul '24,1,3,8500,25500000,7.0,13,3,KPM
2233,4499,1,2545,2,Ready to Move,1,7,6000,15270000,6.0,12,4,Milestone
2234,4500,2,5175,1,Poss. by Jul '24,1,3,8500,43987500,7.0,13,4,KPM
2235,4501,2,6500,1,Poss. by Dec '25,1,5,7200,46800000,7.0,11,4,Rajhans
2236,4502,2,9000,1,Poss. by Jul '24,1,3,8500,76500000,7.0,13,5,KPM
2237,4503,2,3800,1,Ready to Move,1,5,6800,25840000,1.0,20,4,Sangini
2238,4504,2,2855,1,Poss. by Jul '24,1,3,5800,16559000,5.0,13,4,Veer
2239,4505,1,3300,1,Ready to Move,1,5,6800,22440000,6.0,18,5,Rajgreen
2240,4506,2,3100,1,Poss. by Jul '25,1,8,6000,18600000,5.0,12,4,Universal
2241,4507,1,3135,1,Ready to Move,1,5,8200,25707000,5.0,11,4,D
2242,4508,2,4500,1,Poss. by Jul '24,1,3,5756,25902000,5.0,13,4,Veer
2243,4509,2,5000,1,Ready to Move,1,7,7000,35000000,5.0,18,5,Sangini
2244,4510,2,4378,1,Poss. by Jul '24,1,3,5756,25199768,8.0,13,5,Veer
2245,4511,2,7000,1,Ready to Move,1,3,8000,56000000,7.0,11,5,D
2246,4512,2,7150,1,Ready to Move,1,3,8503,60796450,11.0,12,5,Surya
2247,4513,2,4000,1,Ready to Move,1,3,8000,32000000,5.0,12,4,Sangini
2248,4514,2,3500,1,Poss. by Dec '26,1,3,6500,22750000,5.0,12,4,Millionaires
2249,4515,2,3000,1,Poss. by Nov '28,1,3,6200,18600000,5.0,12,4,Happy
2250,4516,2,2620,2,Ready to Move,1,3,6031,15801220,5.0,12,3,Samprati
2251,4517,2,3400,2,Ready to Move,1,2,6000,20400000,5.0,12,4,Samprati
